,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
398,K2-146 c,2.18595,7.4943843,1.851603,556.6009
399,K2-184 b,1.46851,2.7619253,1.3714106,557.08411
400,Kepler-126 d,2.49983,6.8015193,1.6494826,557.59755
401,Kepler-1418 b,1.65908,3.4007596,1.4317075,557.6158
402,Kepler-80 g,1.13221,1.5065047,1.153511,557.67871
403,Kepler-158 b,2.11869,5.1488136,1.5589058,558.54637
404,Kepler-1166 b,1.69271,3.496108,1.4371468,558.71093
405,Kepler-983 b,2.36531,6.1658633,1.6145552,559.05348
406,K2-381 c,1.99538,4.6720716,1.5301779,559.24552
407,HD 191939 d,2.99307,2.8000647,0.96722073,559.5012
408,Kepler-622 b,2.1299,5.1805964,1.5595894,560.14607
409,Kepler-1273 b,2.48862,6.7697365,1.6493263,560.16345
410,Kepler-632 b,2.20837,5.5302073,1.5824674,560.1638
411,Kepler-984 b,2.11869,5.1488136,1.5589058,560.49601
413,Kepler-194 d,2.39894,6.3565601,1.6278013,562.41173
414,Kepler-354 c,1.31157,2.2692919,1.3153746,562.49906
415,Kepler-167 d,1.2331,2.0627037,1.2933596,563.0373
416,KIC 8540376 c,2.39894,6.3565601,1.6278013,563.92467
417,Kepler-916 b,1.75997,3.7503704,1.4597701,564.69643
418,Kepler-331 c,1.83844,4.0364156,1.4817441,565.42638
419,K2-400 b,1.16584,1.668597,1.1963445,565.54067
420,HIP 54373 b,2.86976,8.6194954,1.7330781,565.85212
421,Kepler-992 b,1.62545,3.2418456,1.4122428,566.34417
422,K2-377 b,1.69271,3.496108,1.4371468,567.08244
423,Kepler-1480 b,1.67029,3.4325424,1.4335473,568.96532
424,Kepler-353 c,1.37883,2.4790584,1.3408741,569.85458
425,Kepler-283 b,2.1299,5.1805964,1.5595894,570.57639
426,Kepler-1787 b,2.32047,5.9751665,1.6046748,570.7656
427,Kepler-333 b,1.32278,28.286692,4.6243135,571.75648
428,Kepler-1232 b,1.92812,4.3860264,1.5082335,572.10106
429,Kepler-1030 b,2.47741,6.7061709,1.6452745,572.12729
430,Kepler-1013 b,2.15232,5.2759448,1.5656573,572.61199
431,HD 7924 d,2.42136,6.4391953,1.6307452,574.05495
432,Kepler-1965 b,1.35641,2.4027797,1.3309492,574.13287
433,Kepler-399 c,1.43488,2.6347941,1.3550819,574.51963
434,Kepler-1378 b,2.19716,5.4666417,1.577355,575.10757
435,HD 260655 c,1.53577,3.0892882,1.4182935,576.27582
436,Kepler-185 c,2.0178,4.7356372,1.5319696,577.38211
437,Kepler-1009 b,2.17474,5.3395104,1.5669208,577.78224
